,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,28.710458755493164,19.09149932861328,38.39698791503906,66.5857162475586,31.770000457763672,19.09149932861328,43.869998931884766,66.5857162475586,31.81999969482422,19.149999618530273,43.869998931884766,66.62999725341797,31.412500381469727,18.850500106811523,43.150001525878906,65.42285919189453,31.81999969482422,18.920499801635742,43.380001068115234,65.42857360839844,217088800,69502000,40264900,12968900
2015-02-17,28.87990379333496,18.771499633789062,38.41461944580078,67.13714599609375,31.957500457763672,18.771499633789062,43.58000183105469,67.13714599609375,32.220001220703125,18.999500274658203,44.0,67.37142944335938,31.729999542236328,18.633499145507812,43.189998626708984,65.94428253173828,31.872499465942383,18.88599967956543,43.970001220703125,66.51571655273438,252609600,73464000,33695700,11170600
2015-02-18,29.080976486206055,18.668500900268555,38.37054443359375,67.86571502685547,32.18000030517578,18.668500900268555,43.529998779296875,67.86571502685547,32.19499969482422,18.836999893188477,43.70000076293945,68.06999969482422,31.862499237060547,18.642499923706055,43.38999938964844,66.64571380615234,31.907499313354492,18.68899917602539,43.630001068115234,67.02285766601562,179566800,53012000,27111700,10316600
2015-02-19,29.019975662231445,18.950000762939453,38.34410095214844,67.80000305175781,32.11249923706055,18.950000762939453,43.5,67.80000305175781,32.25749969482422,19.0939998626709,43.529998779296875,68.71428680419922,32.08250045776367,18.671499252319336,43.04999923706055,67.57428741455078,32.119998931884766,18.67449951171875,43.18000030517578,67.85713958740234,149449600,59076000,27603400,10432100
2015-02-20,29.257198333740234,19.183000564575195,38.66143035888672,68.31428527832031,32.375,19.183000564575195,43.86000061035156,68.31428527832031,32.375,19.184999465942383,43.880001068115234,68.37428283691406,32.01250076293945,18.79199981689453,43.290000915527344,67.63714599609375,32.154998779296875,18.930999755859375,43.5099983215332,67.94999694824219,195793600,65160000,29721100,9422000
2015-02-23,30.047935485839844,19.006999969482422,38.91705322265625,67.40571594238281,33.25,19.006999969482422,44.150001525878906,67.40571594238281,33.25,19.226999282836914,44.189998626708984,68.31428527832031,32.415000915527344,18.899999618530273,43.650001525878906,67.14286041259766,32.505001068115234,19.172000885009766,43.70000076293945,68.30000305175781,283896400,43540000,32518800,9031400
2015-02-24,29.86041259765625,18.929500579833984,38.864158630371094,67.83999633789062,33.04249954223633,18.929500579833984,44.09000015258789,67.83999633789062,33.400001525878906,19.02400016784668,44.29999923706055,68.08428955078125,32.79249954223633,18.808000564575195,43.91999816894531,67.355712890625,33.23500061035156,18.9325008392334,44.150001525878906,67.37285614013672,276912400,38416000,25271700,6075300
2015-02-25,29.096790313720703,19.26849937438965,38.77602005004883,68.33285522460938,32.1974983215332,19.26849937438965,43.9900016784668,68.33285522460938,32.900001525878906,19.392499923706055,44.09000015258789,68.7942886352539,32.037498474121094,18.82699966430664,43.79999923706055,67.80714416503906,32.88999938964844,18.863500595092773,43.95000076293945,67.80714416503906,298846800,63490000,29759800,6854400
2015-02-26,29.465051651000977,19.239999771118164,38.83772659301758,69.00428771972656,32.60499954223633,19.239999771118164,44.060001373291016,69.00428771972656,32.717498779296875,19.4685001373291,44.22999954223633,69.5,31.65250015258789,19.163999557495117,43.88999938964844,68.43000030517578,32.1974983215332,19.203500747680664,43.9900016784668,68.62571716308594,365150000,53742000,28957300,10852800
2015-02-27,29.022235870361328,19.007999420166016,38.65260314941406,67.84428405761719,32.1150016784668,19.007999420166016,43.849998474121094,67.84428405761719,32.64250183105469,19.29949951171875,44.20000076293945,69.42857360839844,32.060001373291016,18.989500045776367,43.65999984741211,67.81857299804688,32.5,19.200000762939453,44.130001068115234,69.08142852783203,248059200,50646000,33807700,11516400
